"age.min";"age.max";"code_dep";"year";"all";"male";"female"
20;24;"39";2012;13049;6881;6168
20;24;"62";2012;92536;47042;45494
20;24;"93";2012;110221;53693;56528
20;24;"58";2012;9905;5284;4621
20;24;"89";2012;16873;8532;8341
20;24;"52";2012;9855;5322;4533
20;24;"46";2012;6478;3479;2999
20;24;"69";2012;140148;68279;71869
20;24;"63";2012;41810;21226;20584
20;24;"34";2012;74794;36675;38119
20;24;"59";2012;195087;97711;97376
20;24;"82";2012;11541;5961;5580
20;24;"76";2012;85228;42648;42580
20;24;"47";2012;16023;8165;7858
20;24;"03";2012;15707;8085;7622
20;24;"33";2012;100635;49428;51207
20;24;"95";2012;83387;41680;41707
20;24;"29";2012;49258;25833;23425
20;24;"83";2012;52045;27203;24842
20;24;"77";2012;87854;44116;43738
20;24;"40";2012;16919;9166;7753
20;24;"04";2012;7098;3689;3409
20;24;"65";2012;11278;6140;5138
20;24;"971";2012;21089;10649;10440
20;24;"90";2012;9462;5490;3972
20;24;"53";2012;16494;8760;7734
20;24;"78";2012;86964;43822;43142
20;24;"70";2012;11677;6310;5367
20;24;"64";2012;34325;17676;16649
20;24;"35";2012;72112;35649;36463
20;24;"60";2012;48877;25316;23561
20;24;"974";2012;56332;28067;28265
20;24;"54";2012;58316;29294;29022
20;24;"48";2012;3659;1947;1712
20;24;"71";2012;26476;14178;12298
20;24;"06";2012;60079;30423;29656
20;24;"36";2012;10269;5390;4879
20;24;"30";2012;37009;19103;17906
20;24;"84";2012;30514;15345;15169
20;24;"14";2012;45287;22874;22413
20;24;"41";2012;15052;7772;7280
20;24;"05";2012;6045;3175;2870
20;24;"66";2012;22620;11303;11317
20;24;"972";2012;22587;11099;11488
20;24;"11";2012;17122;8895;8227
20;24;"13";2012;132695;66124;66571
20;24;"15";2012;6347;3384;2963
20;24;"42";2012;44568;22417;22151
20;24;"21";2012;37980;18606;19374
20;24;"08";2012;15823;8283;7540
20;24;"973";2012;16206;7728;8478
20;24;"12";2012;11939;6197;5742
20;24;"09";2012;6769;3531;3238
20;24;"19";2012;11651;6297;5354
20;24;"72";2012;31355;16281;15074
20;24;"07";2012;13916;7247;6669
20;24;"2A";2012;7752;3934;3818
20;24;"17";2012;30935;16111;14824
20;24;"2B";2012;10421;5443;4978
20;24;"10";2012;17845;9443;8402
20;24;"22";2012;27553;14540;13013
20;24;"25";2012;37432;18912;18520
20;24;"16";2012;17217;9187;8030
20;24;"23";2012;5023;2815;2208
20;24;"18";2012;15093;7850;7243
20;24;"26";2012;25765;13210;12555
20;24;"24";2012;18071;9205;8866
25;29;"39";2012;13767;6873;6894
25;29;"38";2012;74545;37376;37169
25;29;"37";2012;34584;17150;17434
25;29;"55";2012;11668;6075;5593
25;29;"41";2012;16113;8266;7847
25;29;"40";2012;18963;9647;9316
25;29;"76";2012;80067;39635;40432
25;29;"78";2012;88270;43353;44917
25;29;"75";2012;223970;107219;116751
25;29;"77";2012;88429;42802;45627
25;29;"79";2012;19768;9869;9899
25;29;"42";2012;42609;21380;21229
25;29;"86";2012;26223;12731;13492
25;29;"49";2012;47403;23721;23682
25;29;"74";2012;47467;24049;23418
25;29;"92";2012;122423;59180;63243
25;29;"73";2012;24183;12335;11848
25;29;"91";2012;80162;39718;40444
25;29;"56";2012;36926;18855;18071
25;29;"87";2012;21001;10509;10492
25;29;"50";2012;26099;13297;12802
25;29;"57";2012;69053;35120;33933
25;29;"85";2012;35327;17961;17366
25;29;"61";2012;15160;7707;7453
25;29;"32";2012;8015;4008;4007
25;29;"94";2012;99102;47136;51966
25;29;"80";2012;35448;17795;17653
25;29;"43";2012;10981;5538;5443
25;29;"58";2012;10171;5217;4954
25;29;"60";2012;50673;25149;25524
25;29;"31";2012;92082;47129;44953
25;29;"93";2012;116386;55373;61013
25;29;"27";2012;34361;16667;17694
25;29;"81";2012;18236;9094;9142
25;29;"44";2012;80503;40237;40266
25;29;"59";2012;177766;88596;89170
25;29;"02";2012;31971;16015;15956
25;29;"63";2012;37743;18947;18796
25;29;"34";2012;63773;31253;32520
25;29;"88";2012;20652;10328;10324
25;29;"51";2012;37293;18830;18463
25;29;"45";2012;40582;20238;20344
25;29;"01";2012;34961;17622;17339
25;29;"62";2012;91170;45322;45848
25;29;"33";2012;91781;45284;46497
25;29;"95";2012;80538;39439;41099
25;29;"89";2012;18456;9060;9396
25;29;"52";2012;10169;5259;4910
25;29;"67";2012;73268;35837;37431
25;29;"69";2012;126776;61551;65225
25;29;"04";2012;7451;3617;3834
25;29;"65";2012;10904;5552;5352
25;29;"28";2012;25123;12456;12667
25;29;"82";2012;12693;6387;6306
25;29;"53";2012;17353;8723;8630
25;29;"68";2012;45917;22693;23224
25;29;"03";2012;16466;8412;8054
25;29;"64";2012;35031;17656;17375
25;29;"35";2012;65030;32710;32320
25;29;"29";2012;48888;25108;23780
25;29;"83";2012;51894;26116;25778
25;29;"46";2012;7401;3679;3722
25;29;"10";2012;17769;8804;8965
25;29;"71";2012;28096;14276;13820
25;29;"06";2012;59824;29733;30091
25;29;"971";2012;18090;7826;10264
25;29;"90";2012;9329;4800;4529
25;29;"84";2012;29938;14707;15231
25;29;"47";2012;16598;8168;8430
25;29;"70";2012;12776;6321;6455
25;29;"05";2012;7137;3639;3498
25;29;"66";2012;23539;11353;12186
25;29;"972";2012;18188;7989;10199
25;29;"974";2012;50540;22922;27618
25;29;"54";2012;48965;24697;24268
25;29;"48";2012;3943;2014;1929
